"shortmove","longmove","Profit","TotalTrades","Name"
36,16,-0.1426,32,"Tether"
48,30,-0.143228,33,"Tether"
47,30,-0.143228,35,"Tether"
31,10,-0.143318,37,"Tether"
49,41,-0.143424,41,"Tether"
18,6,-0.143512,55,"Tether"
13,5,-0.14365,79,"Tether"
26,11,-0.143712,41,"Tether"
31,7,-0.143816,37,"Tether"
26,20,-0.143834,58,"Tether"
46,30,-0.143868,35,"Tether"
47,26,-0.14459,34,"Tether"
46,4,-0.144776,43,"Tether"
42,26,-0.144998,38,"Tether"
49,34,-0.145228,29,"Tether"
38,21,-0.145256,32,"Tether"
46,29,-0.145962,39,"Tether"
23,11,-0.146242,47,"Tether"
43,27,-0.146362,32,"Tether"
38,22,-0.146378,32,"Tether"
42,19,-0.146478,28,"Tether"
41,17,-0.146668,30,"Tether"
42,11,-0.14673,27,"Tether"
49,42,-0.146742,49,"Tether"
21,6,-0.146884,59,"Tether"
49,16,-0.146984,30,"Tether"
50,16,-0.146984,30,"Tether"
37,17,-0.147198,30,"Tether"
45,16,-0.147476,26,"Tether"
47,16,-0.147476,28,"Tether"
30,7,-0.14764,39,"Tether"
28,8,-0.147642,43,"Tether"
42,32,-0.147836,49,"Tether"
35,34,-0.148184,131,"Tether"
34,8,-0.148454,39,"Tether"
45,14,-0.14874,32,"Tether"
37,22,-0.148766,32,"Tether"
34,32,-0.148888,91,"Tether"
42,18,-0.14906,28,"Tether"
41,15,-0.149228,30,"Tether"
17,12,-0.149242,61,"Tether"
36,21,-0.149788,32,"Tether"
27,18,-0.149848,46,"Tether"
24,17,-0.149884,48,"Tether"
29,17,-0.149884,40,"Tether"
32,29,-0.15006,72,"Tether"
44,23,-0.150094,30,"Tether"
44,26,-0.15022,38,"Tether"
36,25,-0.150366,44,"Tether"
42,27,-0.150882,32,"Tether"
19,6,-0.151132,59,"Tether"
49,40,-0.151176,39,"Tether"
20,11,-0.151838,53,"Tether"
26,17,-0.151838,44,"Tether"
43,11,-0.151838,27,"Tether"
44,11,-0.151838,27,"Tether"
45,11,-0.15184,27,"Tether"
29,11,-0.152472,37,"Tether"
38,11,-0.152506,29,"Tether"
23,19,-0.152554,72,"Tether"
39,19,-0.152608,30,"Tether"
35,4,-0.152664,55,"Tether"
34,11,-0.152772,31,"Tether"
15,4,-0.152932,63,"Tether"
48,28,-0.152994,34,"Tether"
45,38,-0.153138,49,"Tether"
36,11,-0.153284,31,"Tether"
31,22,-0.153552,48,"Tether"
50,48,-0.153598,82,"Tether"
39,11,-0.153762,31,"Tether"
40,11,-0.153848,29,"Tether"
43,18,-0.154168,28,"Tether"
36,23,-0.15431,34,"Tether"
37,11,-0.154384,29,"Tether"
41,24,-0.15454,34,"Tether"
42,24,-0.15477,36,"Tether"
32,19,-0.15489,40,"Tether"
47,18,-0.15495,26,"Tether"
45,19,-0.155012,28,"Tether"
28,9,-0.1551,51,"Tether"
47,19,-0.155346,26,"Tether"
43,17,-0.155618,30,"Tether"
40,16,-0.15574,30,"Tether"
37,20,-0.155888,32,"Tether"
41,26,-0.156188,36,"Tether"
28,7,-0.156332,45,"Tether"
37,23,-0.157382,32,"Tether"
45,28,-0.157466,36,"Tether"
28,10,-0.157682,41,"Tether"
38,16,-0.157928,32,"Tether"
37,16,-0.157932,32,"Tether"
50,37,-0.158202,35,"Tether"
15,11,-0.158264,71,"Tether"
38,17,-0.15845,30,"Tether"
24,10,-0.158452,47,"Tether"
23,17,-0.15846,54,"Tether"
50,32,-0.158658,33,"Tether"
45,33,-0.159142,33,"Tether"
46,33,-0.159146,33,"Tether"
8,6,-0.159342,119,"Tether"
46,28,-0.159518,36,"Tether"
27,10,-0.1596,41,"Tether"
31,8,-0.159828,39,"Tether"
39,25,-0.159954,38,"Tether"
46,5,-0.160204,35,"Tether"
6,5,-0.160334,170,"Tether"
30,10,-0.160772,39,"Tether"
23,9,-0.16101,55,"Tether"
47,20,-0.161474,26,"Tether"
40,25,-0.161872,36,"Tether"
14,4,-0.161886,71,"Tether"
29,28,-0.161888,134,"Tether"
24,22,-0.162131999999999,91,"Tether"
36,10,-0.1624,35,"Tether"
49,33,-0.1631,33,"Tether"
46,34,-0.163356,35,"Tether"
49,13,-0.163672,30,"Tether"
50,13,-0.163672,30,"Tether"
23,18,-0.163814,60,"Tether"
30,18,-0.164212,40,"Tether"
40,23,-0.164224,32,"Tether"
37,24,-0.164298,38,"Tether"
41,23,-0.16438,32,"Tether"
30,12,-0.164462,37,"Tether"
49,39,-0.1647,39,"Tether"
